Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
DF,27.04109589041096,26,James Justin,https://fbref.com/en/players/fb614c44/James-Justin,https://fbref.com/en/players/fb614c44/scout/365_m1/James-Justin-Scouting-Report,https://fbref.com/en/players/fb614c44/matchlogs/2024-2025/summary/James-Justin-Match-Logs,Defender
FW,38.15890410958904,26,Jamie Vardy,https://fbref.com/en/players/45963054/Jamie-Vardy,https://fbref.com/en/players/45963054/scout/365_m1/Jamie-Vardy-Scouting-Report,https://fbref.com/en/players/45963054/matchlogs/2024-2025/summary/Jamie-Vardy-Match-Logs,Forwards
DF,22.23013698630137,25,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,https://fbref.com/en/players/505486d6/scout/365_m1/Victor-Bernth-Kristiansen-Scouting-Report,https://fbref.com/en/players/505486d6/matchlogs/2024-2025/summary/Victor-Bernth-Kristiansen-Match-Logs,Defender
DF,26.934246575342467,21,Wout Faes,https://fbref.com/en/players/9c221d14/Wout-Faes,https://fbref.com/en/players/9c221d14/scout/365_m1/Wout-Faes-Scouting-Report,https://fbref.com/en/players/9c221d14/matchlogs/2024-2025/summary/Wout-Faes-Match-Logs,Defender
GK,24.663013698630134,21,Mads Hermansen,https://fbref.com/en/players/c924b17d/Mads-Hermansen,https://fbref.com/en/players/c924b17d/scout/365_m1/Mads-Hermansen-Scouting-Report,https://fbref.com/en/players/c924b17d/matchlogs/2024-2025/summary/Mads-Hermansen-Match-Logs,GK
MF,28.23013698630137,19,Wilfred Ndidi,https://fbref.com/en/players/6b47c5db/Wilfred-Ndidi,https://fbref.com/en/players/6b47c5db/scout/365_m1/Wilfred-Ndidi-Scouting-Report,https://fbref.com/en/players/6b47c5db/matchlogs/2024-2025/summary/Wilfred-Ndidi-Match-Logs,Central Midfielders
MF,20.832876712328765,18,Bilal El Khannouss,https://fbref.com/en/players/f7042636/Bilal-El-Khannouss,https://fbref.com/en/players/f7042636/scout/365_m1/Bilal-El-Khannouss-Scouting-Report,https://fbref.com/en/players/f7042636/matchlogs/2024-2025/summary/Bilal-El-Khannouss-Match-Logs,Central Midfielders
MF,29.0986301369863,17,Harry Winks,https://fbref.com/en/players/2f7acede/Harry-Winks,https://fbref.com/en/players/2f7acede/scout/365_m1/Harry-Winks-Scouting-Report,https://fbref.com/en/players/2f7acede/matchlogs/2024-2025/summary/Harry-Winks-Match-Logs,Central Midfielders
MF,26.03013698630137,17,Boubakary Soumare,https://fbref.com/en/players/ae59b359/Boubakary-Soumare,https://fbref.com/en/players/ae59b359/scout/365_m1/Boubakary-Soumare-Scouting-Report,https://fbref.com/en/players/ae59b359/matchlogs/2024-2025/summary/Boubakary-Soumare-Match-Logs,Central Midfielders
DF,32.6,16,Jannik Vestergaard,https://fbref.com/en/players/1900032e/Jannik-Vestergaard,https://fbref.com/en/players/1900032e/scout/365_m1/Jannik-Vestergaard-Scouting-Report,https://fbref.com/en/players/1900032e/matchlogs/2024-2025/summary/Jannik-Vestergaard-Match-Logs,Defender
"FW,MF",33.49315068493151,15,Jordan Ayew,https://fbref.com/en/players/da052c14/Jordan-Ayew,https://fbref.com/en/players/da052c14/scout/365_m1/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/matchlogs/2024-2025/summary/Jordan-Ayew-Match-Logs,Forwards
FW,26.775342465753425,14,Stephy Mavididi,https://fbref.com/en/players/30144daa/Stephy-Mavididi,https://fbref.com/en/players/30144daa/scout/365_m1/Stephy-Mavididi-Scouting-Report,https://fbref.com/en/players/30144daa/matchlogs/2024-2025/summary/Stephy-Mavididi-Match-Logs,Forwards
"FW,MF",20.21095890410959,13,Facundo Buonanotte,https://fbref.com/en/players/468a7a91/Facundo-Buonanotte,https://fbref.com/en/players/468a7a91/scout/365_m1/Facundo-Buonanotte-Scouting-Report,https://fbref.com/en/players/468a7a91/matchlogs/2024-2025/summary/Facundo-Buonanotte-Match-Logs,Forwards
DF,23.65753424657534,11,Caleb Okoli,https://fbref.com/en/players/8ec109e6/Caleb-Okoli,https://fbref.com/en/players/8ec109e6/scout/365_m1/Caleb-Okoli-Scouting-Report,https://fbref.com/en/players/8ec109e6/matchlogs/2024-2025/summary/Caleb-Okoli-Match-Logs,Defender
DF,32.035616438356165,9,Conor Coady,https://fbref.com/en/players/2928dca2/Conor-Coady,https://fbref.com/en/players/2928dca2/scout/365_m1/Conor-Coady-Scouting-Report,https://fbref.com/en/players/2928dca2/matchlogs/2024-2025/summary/Conor-Coady-Match-Logs,Defender
MF,24.47945205479452,7,Oliver Skipp,https://fbref.com/en/players/6250083a/Oliver-Skipp,https://fbref.com/en/players/6250083a/scout/365_m1/Oliver-Skipp-Scouting-Report,https://fbref.com/en/players/6250083a/matchlogs/2024-2025/summary/Oliver-Skipp-Match-Logs,Central Midfielders
"FW,MF",32.0986301369863,7,Bobby Reid,https://fbref.com/en/players/0f7533cd/Bobby-Reid,https://fbref.com/en/players/0f7533cd/scout/365_m1/Bobby-Reid-Scouting-Report,https://fbref.com/en/players/0f7533cd/matchlogs/2024-2025/summary/Bobby-Reid-Match-Logs,Forwards
FW,21.005479452054793,6,Abdul Fatawu Issahaku,https://fbref.com/en/players/bceda5ff/Abdul-Fatawu-Issahaku,https://fbref.com/en/players/bceda5ff/scout/365_m1/Abdul-Fatawu-Issahaku-Scouting-Report,https://fbref.com/en/players/bceda5ff/matchlogs/2024-2025/summary/Abdul-Fatawu-Issahaku-Match-Logs,Forwards
GK,24.221917808219175,6,Jakub Stolarczyk,https://fbref.com/en/players/a4a76b3d/Jakub-Stolarczyk,https://fbref.com/en/players/a4a76b3d/scout/365_m1/Jakub-Stolarczyk-Scouting-Report,https://fbref.com/en/players/a4a76b3d/matchlogs/2024-2025/summary/Jakub-Stolarczyk-Match-Logs,GK
"FW,MF",23.295890410958904,4,Kasey McAteer,https://fbref.com/en/players/b2c66859/Kasey-McAteer,https://fbref.com/en/players/b2c66859/scout/365_m1/Kasey-McAteer-Scouting-Report,https://fbref.com/en/players/b2c66859/matchlogs/2024-2025/summary/Kasey-McAteer-Match-Logs,Forwards
DF,23.747945205479457,3,Luke Thomas,https://fbref.com/en/players/fc027d02/Luke-Thomas,https://fbref.com/en/players/fc027d02/scout/365_m1/Luke-Thomas-Scouting-Report,https://fbref.com/en/players/fc027d02/matchlogs/2024-2025/summary/Luke-Thomas-Match-Logs,Defender
"FW,MF",26.416438356164385,2,Patson Daka,https://fbref.com/en/players/ca45605e/Patson-Daka,https://fbref.com/en/players/ca45605e/scout/365_m1/Patson-Daka-Scouting-Report,https://fbref.com/en/players/ca45605e/matchlogs/2024-2025/summary/Patson-Daka-Match-Logs,Forwards
DF,31.424657534246577,2,Ricardo Pereira,https://fbref.com/en/players/75a72a99/Ricardo-Pereira,https://fbref.com/en/players/75a72a99/scout/365_m1/Ricardo-Pereira-Scouting-Report,https://fbref.com/en/players/75a72a99/matchlogs/2024-2025/summary/Ricardo-Pereira-Match-Logs,Defender
GK,31.715068493150685,1,Danny Ward,https://fbref.com/en/players/d3ce0e89/Danny-Ward,https://fbref.com/en/players/d3ce0e89/scout/365_m1/Danny-Ward-Scouting-Report,https://fbref.com/en/players/d3ce0e89/matchlogs/2024-2025/summary/Danny-Ward-Match-Logs,GK
"MF,DF",27.438356164383563,1,Hamza Choudhury,https://fbref.com/en/players/7d2d3329/Hamza-Choudhury,https://fbref.com/en/players/7d2d3329/scout/365_m1/Hamza-Choudhury-Scouting-Report,https://fbref.com/en/players/7d2d3329/matchlogs/2024-2025/summary/Hamza-Choudhury-Match-Logs,Central Midfielders
DF,25.805479452054794,1,Woyo Coulibaly,https://fbref.com/en/players/beb6e3a6/Woyo-Coulibaly,https://fbref.com/en/players/beb6e3a6/scout/365_m1/Woyo-Coulibaly-Scouting-Report,https://fbref.com/en/players/beb6e3a6/matchlogs/2024-2025/summary/Woyo-Coulibaly-Match-Logs,Defender
FW,27.145205479452056,0,Odsonne Edouard,https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,https://fbref.com/en/players/0562b7f1/scout/365_m1/Odsonne-Edouard-Scouting-Report,https://fbref.com/en/players/0562b7f1/matchlogs/2024-2025/summary/Odsonne-Edouard-Match-Logs,Forwards
FW,20.095890410958905,0,Will Alves,https://fbref.com/en/players/39ef5a7b/Will-Alves,https://fbref.com/en/players/39ef5a7b/scout/365_m1/Will-Alves-Scouting-Report,https://fbref.com/en/players/39ef5a7b/matchlogs/2024-2025/summary/Will-Alves-Match-Logs,Forwards
FW,22.197260273972603,0,Thomas Cannon,https://fbref.com/en/players/4506aec5/Thomas-Cannon,https://fbref.com/en/players/4506aec5/scout/365_m1/Thomas-Cannon-Scouting-Report,https://fbref.com/en/players/4506aec5/matchlogs/2024-2025/summary/Thomas-Cannon-Match-Logs,Forwards
MF,20.243835616438357,0,Henry Cartwright,https://fbref.com/en/players/0b6dfc4f/Henry-Cartwright,https://fbref.com/en/players/0b6dfc4f/scout/365_m1/Henry-Cartwright-Scouting-Report,https://fbref.com/en/players/0b6dfc4f/matchlogs/2024-2025/summary/Henry-Cartwright-Match-Logs,Central Midfielders
GK,27.64109589041096,0,Daniel Iversen,https://fbref.com/en/players/10d221cd/Daniel-Iversen,https://fbref.com/en/players/10d221cd/scout/365_m1/Daniel-Iversen-Scouting-Report,https://fbref.com/en/players/10d221cd/matchlogs/2024-2025/summary/Daniel-Iversen-Match-Logs,GK
DF,20.97808219178082,0,Benjamin Nelson,https://fbref.com/en/players/7be10897/Benjamin-Nelson,https://fbref.com/en/players/7be10897/scout/365_m1/Benjamin-Nelson-Scouting-Report,https://fbref.com/en/players/7be10897/matchlogs/2024-2025/summary/Benjamin-Nelson-Match-Logs,Defender
MF,20.427397260273978,0,Thomas Wilson Brown,https://fbref.com/en/players/b495353c/Thomas-Wilson-Brown,https://fbref.com/en/players/b495353c/scout/365_m1/Thomas-Wilson-Brown-Scouting-Report,https://fbref.com/en/players/b495353c/matchlogs/2024-2025/summary/Thomas-Wilson-Brown-Match-Logs,Central Midfielders
GK,31.008219178082193,28,Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford,https://fbref.com/en/players/4806ec67/scout/365_m1/Jordan-Pickford-Scouting-Report,https://fbref.com/en/players/4806ec67/matchlogs/2024-2025/summary/Jordan-Pickford-Match-Logs,GK
DF,32.3041095890411,28,James Tarkowski,https://fbref.com/en/players/15ea812b/James-Tarkowski,https://fbref.com/en/players/15ea812b/scout/365_m1/James-Tarkowski-Scouting-Report,https://fbref.com/en/players/15ea812b/matchlogs/2024-2025/summary/James-Tarkowski-Match-Logs,Defender
DF,25.78082191780822,26,Vitaliy Mykolenko,https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko,https://fbref.com/en/players/30d4a2e5/scout/365_m1/Vitaliy-Mykolenko-Scouting-Report,https://fbref.com/en/players/30d4a2e5/matchlogs/2024-2025/summary/Vitaliy-Mykolenko-Match-Logs,Defender
MF,35.45205479452055,25,Idrissa Gana Gueye,https://fbref.com/en/players/72c812f3/Idrissa-Gana-Gueye,https://fbref.com/en/players/72c812f3/scout/365_m1/Idrissa-Gana-Gueye-Scouting-Report,https://fbref.com/en/players/72c812f3/matchlogs/2024-2025/summary/Idrissa-Gana-Gueye-Match-Logs,Central Midfielders
MF,32.18630136986302,23,Abdoulaye Doucoure,https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure,https://fbref.com/en/players/02b29014/scout/365_m1/Abdoulaye-Doucoure-Scouting-Report,https://fbref.com/en/players/02b29014/matchlogs/2024-2025/summary/Abdoulaye-Doucoure-Match-Logs,Central Midfielders
FW,25.01095890410959,22,Iliman Ndiaye,https://fbref.com/en/players/5ed97752/Iliman-Ndiaye,https://fbref.com/en/players/5ed97752/scout/365_m1/Iliman-Ndiaye-Scouting-Report,https://fbref.com/en/players/5ed97752/matchlogs/2024-2025/summary/Iliman-Ndiaye-Match-Logs,Forwards
DF,22.7013698630137,19,Jarrad Branthwaite,https://fbref.com/en/players/c1949191/Jarrad-Branthwaite,https://fbref.com/en/players/c1949191/scout/365_m1/Jarrad-Branthwaite-Scouting-Report,https://fbref.com/en/players/c1949191/matchlogs/2024-2025/summary/Jarrad-Branthwaite-Match-Logs,Defender
FW,27.983561643835618,19,Dominic Calvert Lewin,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin,https://fbref.com/en/players/59e6e5bf/scout/365_m1/Dominic-Calvert-Lewin-Scouting-Report,https://fbref.com/en/players/59e6e5bf/matchlogs/2024-2025/summary/Dominic-Calvert-Lewin-Match-Logs,Forwards
"DF,FW",39.66849315068493,17,Ashley Young,https://fbref.com/en/players/be927d03/Ashley-Young,https://fbref.com/en/players/be927d03/scout/365_m1/Ashley-Young-Scouting-Report,https://fbref.com/en/players/be927d03/matchlogs/2024-2025/summary/Ashley-Young-Match-Logs,Wing-Back
