,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
0,"FW,MF",21.90684931506849,29,Brennan Johnson,https://fbref.com/en/players/0cd31129/Brennan-Johnson,https://fbref.com/en/players/0cd31129/scout/365_m1/Brennan-Johnson-Scouting-Report,https://fbref.com/en/players/0cd31129/matchlogs/2022-2023/summary/Brennan-Johnson-Match-Logs,Attacking Midfielders
1,"MF,FW",23.224657534246575,27,Morgan Gibbs White,https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White,https://fbref.com/en/players/32f60ed8/scout/365_m1/Morgan-Gibbs-White-Scouting-Report,https://fbref.com/en/players/32f60ed8/matchlogs/2022-2023/summary/Morgan-Gibbs-White-Match-Logs,Attacking Midfielders
2,MF,31.01095890410959,23,Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,https://fbref.com/en/players/98d2c2c4/scout/365_m1/Remo-Freuler-Scouting-Report,https://fbref.com/en/players/98d2c2c4/matchlogs/2022-2023/summary/Remo-Freuler-Match-Logs,Central Midfielders
3,DF,25.03013698630137,19,Renan Lodi,https://fbref.com/en/players/ed9f7cfe/Renan-Lodi,https://fbref.com/en/players/ed9f7cfe/scout/365_m1/Renan-Lodi-Scouting-Report,https://fbref.com/en/players/ed9f7cfe/matchlogs/2022-2023/summary/Renan-Lodi-Match-Logs,Defender
4,DF,22.016438356164382,18,Neco Williams,https://fbref.com/en/players/dd323728/Neco-Williams,https://fbref.com/en/players/dd323728/scout/365_m1/Neco-Williams-Scouting-Report,https://fbref.com/en/players/dd323728/matchlogs/2022-2023/summary/Neco-Williams-Match-Logs,Defender
5,GK,26.104109589041094,18,Dean Henderson,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,https://fbref.com/en/players/e5a76dfe/scout/365_m1/Dean-Henderson-Scouting-Report,https://fbref.com/en/players/e5a76dfe/matchlogs/2022-2023/summary/Dean-Henderson-Match-Logs,GK
6,DF,26.432876712328767,18,Scott McKenna,https://fbref.com/en/players/4e5a4cbc/Scott-McKenna,https://fbref.com/en/players/4e5a4cbc/scout/365_m1/Scott-McKenna-Scouting-Report,https://fbref.com/en/players/4e5a4cbc/matchlogs/2022-2023/summary/Scott-McKenna-Match-Logs,Defender
7,DF,26.27123287671233,17,Joe Worrall,https://fbref.com/en/players/a5212312/Joe-Worrall,https://fbref.com/en/players/a5212312/scout/365_m1/Joe-Worrall-Scouting-Report,https://fbref.com/en/players/a5212312/matchlogs/2022-2023/summary/Joe-Worrall-Match-Logs,Defender
8,MF,25.40821917808219,17,Ryan Yates,https://fbref.com/en/players/c1fe2a48/Ryan-Yates,https://fbref.com/en/players/c1fe2a48/scout/365_m1/Ryan-Yates-Scouting-Report,https://fbref.com/en/players/c1fe2a48/matchlogs/2022-2023/summary/Ryan-Yates-Match-Logs,Central Midfielders
9,DF,30.317808219178083,16,Serge Aurier,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,https://fbref.com/en/players/5c2b4f07/scout/365_m1/Serge-Aurier-Scouting-Report,https://fbref.com/en/players/5c2b4f07/matchlogs/2022-2023/summary/Serge-Aurier-Match-Logs,Defender
