,Player,Nation,Pos,Age,new_pound_value
0,Kai Havertz,de GER,"FW,MF",25.0,280000
1,Gabriel Jesus,br BRA,"FW,MF",27.0,265000
2,Declan Rice,eng ENG,MF,25.0,240000
3,Martin Ødegaard,no NOR,MF,25.0,240000
4,Thomas Partey,gh GHA,"MF,DF",31.0,200000
5,Bukayo Saka,eng ENG,"FW,MF",22.0,195000
6,William Saliba,fr FRA,DF,23.0,190000
7,Gabriel Martinelli,br BRA,"FW,MF",23.0,180000
8,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,150000
9,Ben White,eng ENG,DF,26.0,150000
10,Mikel Merino,es ESP,"MF,FW",28.0,130000
11,Riccardo Calafiori,it ITA,DF,22.0,120000
12,Jorginho,it ITA,MF,32.0,110000
13,Kieran Tierney,sct SCO,"FW,DF",27.0,110000
14,Gabriel Magalhães,br BRA,DF,26.0,100000
15,Takehiro Tomiyasu,jp JPN,DF,25.0,100000
16,David Raya,es ESP,GK,28.0,100000
17,Jurriën Timber,nl NED,DF,23.0,90000
18,Leandro Trossard,be BEL,FW,29.0,90000
19,Jakub Kiwior,pl POL,DF,24.0,58000
20,Neto,br BRA,GK,35.0,50000
21,Fabio Vieira,pt POR,AM,24.0,45000
0,Pablo Sarabia,es ESP,"MF,FW",32.0,90000
1,Gonçalo Guedes,pt POR,"MF,FW",27.0,90000
2,Nélson Semedo,pt POR,DF,30.0,80000
3,Hwang Hee-chan,kr KOR,"MF,FW",28.0,70000
4,Matheus Cunha,br BRA,"MF,FW",25.0,60000
5,Boubacar Traoré,ml MLI,MF,22.0,55000
6,Matt Doherty,ie IRL,DF,32.0,50000
7,Craig Dawson,eng ENG,DF,34.0,45000
8,Mario Lemina,ga GAB,"MF,DF",30.0,45000
9,Sam Johnstone,eng ENG,GK,31.0,40000
10,José Sá,pt POR,GK,31.0,40000
11,André,br BRA,MF,23.0,35000
12,Sasa Kalajdzic,at AUT,CF,27.0,35000
13,Jean-Ricner Bellegarde,fr FRA,"MF,FW",26.0,35000
14,João Gomes,br BRA,MF,23.0,30000
15,Santiago Bueno,uy URU,DF,25.0,30000
16,Toti Gomes,pt POR,DF,25.0,25000
17,Rodrigo Gomes,pt POR,"DF,FW",21.0,25000
18,Daniel Bentley,eng ENG,GK,31.0,20000
19,Carlos Forbs,,LW,20.0,20000
20,Jørgen Strand Larsen,no NOR,FW,24.0,15000
21,Luke Cundle,eng ENG,MF,22.0,15000
22,Pedro Lima,,RB,18.0,15000
