,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
0,DF,30.0,36,Vladimir Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,https://fbref.com/en/players/fdf3cb77/scout/365_m1/Vladimir-Coufal-Scouting-Report,https://fbref.com/en/players/fdf3cb77/matchlogs/2022-2023/summary/Vladimir-Coufal-Match-Logs,Defender
1,DF,28.0,35,Emerson Palmieri,https://fbref.com/en/players/e0bc6fdc/Emerson-Palmieri,https://fbref.com/en/players/e0bc6fdc/scout/365_m1/Emerson-Palmieri-Scouting-Report,https://fbref.com/en/players/e0bc6fdc/matchlogs/2022-2023/summary/Emerson-Palmieri-Match-Logs,Defender
2,FW,26.0,34,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,https://fbref.com/en/players/79c84d1c/scout/365_m1/Jarrod-Bowen-Scouting-Report,https://fbref.com/en/players/79c84d1c/matchlogs/2022-2023/summary/Jarrod-Bowen-Match-Logs,Forwards
3,MF,28.0,34,James Ward Prowse,https://fbref.com/en/players/3515d404/James-Ward-Prowse,https://fbref.com/en/players/3515d404/scout/365_m1/James-Ward-Prowse-Scouting-Report,https://fbref.com/en/players/3515d404/matchlogs/2022-2023/summary/James-Ward-Prowse-Match-Logs,Central Midfielders
4,MF,28.0,34,Tomas Soucek,https://fbref.com/en/players/6613c819/Tomas-Soucek,https://fbref.com/en/players/6613c819/scout/365_m1/Tomas-Soucek-Scouting-Report,https://fbref.com/en/players/6613c819/matchlogs/2022-2023/summary/Tomas-Soucek-Match-Logs,Central Midfielders
5,DF,28.0,32,Kurt Zouma,https://fbref.com/en/players/ce4246f5/Kurt-Zouma,https://fbref.com/en/players/ce4246f5/scout/365_m1/Kurt-Zouma-Scouting-Report,https://fbref.com/en/players/ce4246f5/matchlogs/2022-2023/summary/Kurt-Zouma-Match-Logs,Defender
6,GK,30.0,31,Alphonse Areola,https://fbref.com/en/players/2f965a72/Alphonse-Areola,https://fbref.com/en/players/2f965a72/scout/365_m1/Alphonse-Areola-Scouting-Report,https://fbref.com/en/players/2f965a72/matchlogs/2022-2023/summary/Alphonse-Areola-Match-Logs,GK
7,"FW,MF",25.0,31,Lucas Paqueta,https://fbref.com/en/players/9b6f7fd5/Lucas-Paqueta,https://fbref.com/en/players/9b6f7fd5/scout/365_m1/Lucas-Paqueta-Scouting-Report,https://fbref.com/en/players/9b6f7fd5/matchlogs/2022-2023/summary/Lucas-Paqueta-Match-Logs,Attacking Midfielders
8,MF,25.0,28,Edson Alvarez,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,https://fbref.com/en/players/8b3ab7ad/scout/365_m1/Edson-Alvarez-Scouting-Report,https://fbref.com/en/players/8b3ab7ad/matchlogs/2022-2023/summary/Edson-Alvarez-Match-Logs,Central Midfielders
9,"FW,MF",22.0,27,Mohammed Kudus,https://fbref.com/en/players/b62878a5/Mohammed-Kudus,https://fbref.com/en/players/b62878a5/scout/365_m1/Mohammed-Kudus-Scouting-Report,https://fbref.com/en/players/b62878a5/matchlogs/2022-2023/summary/Mohammed-Kudus-Match-Logs,Attacking Midfielders
10,DF,27.0,21,Nayef Aguerd,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,https://fbref.com/en/players/288e1e13/scout/365_m1/Nayef-Aguerd-Scouting-Report,https://fbref.com/en/players/288e1e13/matchlogs/2022-2023/summary/Nayef-Aguerd-Match-Logs,Defender
11,FW,33.0,21,Michail Antonio,https://fbref.com/en/players/ac05f970/Michail-Antonio,https://fbref.com/en/players/ac05f970/scout/365_m1/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/matchlogs/2022-2023/summary/Michail-Antonio-Match-Logs,Forwards
12,DF,25.0,16,Konstantinos Mavropanos,https://fbref.com/en/players/00963611/Konstantinos-Mavropanos,https://fbref.com/en/players/00963611/scout/365_m1/Konstantinos-Mavropanos-Scouting-Report,https://fbref.com/en/players/00963611/matchlogs/2022-2023/summary/Konstantinos-Mavropanos-Match-Logs,Defender
13,GK,38.0,7,Lukasz Fabianski,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,https://fbref.com/en/players/9328b835/scout/365_m1/Lukasz-Fabianski-Scouting-Report,https://fbref.com/en/players/9328b835/matchlogs/2022-2023/summary/Lukasz-Fabianski-Match-Logs,GK
14,DF,35.0,7,Angelo Ogbonna,https://fbref.com/en/players/74b2cd7e/Angelo-Ogbonna,https://fbref.com/en/players/74b2cd7e/scout/365_m1/Angelo-Ogbonna-Scouting-Report,https://fbref.com/en/players/74b2cd7e/matchlogs/2022-2023/summary/Angelo-Ogbonna-Match-Logs,Defender
15,"FW,MF",27.0,5,Said Benrahma,https://fbref.com/en/players/5a04fd92/Said-Benrahma,https://fbref.com/en/players/5a04fd92/scout/365_m1/Said-Benrahma-Scouting-Report,https://fbref.com/en/players/5a04fd92/matchlogs/2022-2023/summary/Said-Benrahma-Match-Logs,Attacking Midfielders
16,"DF,FW",23.0,4,Ben Johnson,https://fbref.com/en/players/9319781b/Ben-Johnson,https://fbref.com/en/players/9319781b/scout/365_m1/Ben-Johnson-Scouting-Report,https://fbref.com/en/players/9319781b/matchlogs/2022-2023/summary/Ben-Johnson-Match-Logs,Wing-Back
