,Player,Nation,Pos,Age,new_pound_value,league
0,Mohamed Salah,eg EGY,FW,32.0,350000,Premier League
1,Virgil van Dijk,nl NED,DF,33.0,220000,Premier League
2,Trent Alexander-Arnold,eng ENG,DF,25.0,180000,Premier League
3,Andrew Robertson,sct SCO,DF,30.0,160000,Premier League
4,Alisson,br BRA,GK,31.0,150000,Premier League
5,Federico Chiesa,it ITA,FW,26.0,150000,Premier League
6,Ryan Gravenberch,nl NED,MF,22.0,150000,Premier League
7,Alexis Mac Allister,ar ARG,MF,25.0,150000,Premier League
8,Darwin Núñez,uy URU,FW,25.0,140000,Premier League
9,Diogo Jota,pt POR,FW,27.0,140000,Premier League
10,Cody Gakpo,nl NED,FW,25.0,120000,Premier League
11,Dominik Szoboszlai,hu HUN,MF,23.0,120000,Premier League
12,Joe Gomez,eng ENG,DF,27.0,85000,Premier League
13,Kostas Tsimikas,gr GRE,DF,28.0,75000,Premier League
14,Ibrahima Konaté,fr FRA,DF,25.0,70000,Premier League
15,Nathaniel Phillips,eng ENG,CB,27.0,65000,Premier League
16,Luis Díaz,co COL,FW,27.0,55000,Premier League
17,Wataru Endo,jp JPN,"MF,DF",31.0,50000,Premier League
18,Harvey Elliott,eng ENG,"MF,FW",21.0,40000,Premier League
19,Stefan Bajcetic,,DM,20.0,40000,Premier League
20,Jarell Quansah,,CB,22.0,30000,Premier League
21,Curtis Jones,eng ENG,MF,23.0,15000,Premier League
22,Ben Doak,,RW,19.0,15000,Premier League
23,Conor Bradley,nir NIR,DF,21.0,10000,Premier League
24,Caoimhín Kelleher,ie IRL,GK,25.0,10000,Premier League
25,Rhys Williams,eng ENG,CB,24.0,10000,Premier League
26,Vitezslav Jaros,,GK,23.0,7000,Premier League
27,Kai Havertz,de GER,"FW,MF",25.0,280000,Premier League
28,Gabriel Jesus,br BRA,"FW,MF",27.0,265000,Premier League
29,Declan Rice,eng ENG,MF,25.0,240000,Premier League
30,Martin Ødegaard,no NOR,MF,25.0,240000,Premier League
31,Thomas Partey,gh GHA,"MF,DF",31.0,200000,Premier League
32,Bukayo Saka,eng ENG,"FW,MF",22.0,195000,Premier League
33,William Saliba,fr FRA,DF,23.0,190000,Premier League
34,Gabriel Martinelli,br BRA,"FW,MF",23.0,180000,Premier League
35,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,150000,Premier League
36,Ben White,eng ENG,DF,26.0,150000,Premier League
37,Mikel Merino,es ESP,"MF,FW",28.0,130000,Premier League
38,Riccardo Calafiori,it ITA,DF,22.0,120000,Premier League
39,Jorginho,it ITA,MF,32.0,110000,Premier League
40,Kieran Tierney,sct SCO,"FW,DF",27.0,110000,Premier League
41,Gabriel Magalhães,br BRA,DF,26.0,100000,Premier League
42,Takehiro Tomiyasu,jp JPN,DF,25.0,100000,Premier League
43,David Raya,es ESP,GK,28.0,100000,Premier League
44,Jurriën Timber,nl NED,DF,23.0,90000,Premier League
45,Leandro Trossard,be BEL,FW,29.0,90000,Premier League
46,Jakub Kiwior,pl POL,DF,24.0,58000,Premier League
47,Neto,br BRA,GK,35.0,50000,Premier League
48,Fabio Vieira,pt POR,AM,24.0,45000,Premier League
49,Kevin De Bruyne,be BEL,MF,33.0,400000,Premier League
50,Erling Haaland,no NOR,FW,24.0,375000,Premier League
51,Bernardo Silva,pt POR,"MF,FW",29.0,300000,Premier League
52,Jack Grealish,eng ENG,"FW,MF",28.0,300000,Premier League
53,John Stones,eng ENG,"DF,MF",30.0,250000,Premier League
54,İlkay Gündoğan,de GER,MF,33.0,230000,Premier League
55,Phil Foden,eng ENG,"MF,FW",24.0,225000,Premier League
56,Rodri,es ESP,MF,28.0,220000,Premier League
57,Joško Gvardiol,hr CRO,DF,22.0,200000,Premier League
58,Rúben Dias,pt POR,DF,27.0,180000,Premier League
59,Manuel Akanji,ch SUI,DF,29.0,180000,Premier League
60,Kyle Walker,eng ENG,DF,34.0,175000,Premier League
61,Nathan Aké,nl NED,DF,29.0,160000,Premier League
62,Mateo Kovačić,hr CRO,MF,30.0,150000,Premier League
63,Matheus Nunes,pt POR,"MF,DF",25.0,130000,Premier League
64,Ederson,br BRA,GK,30.0,100000,Premier League
65,Stefan Ortega,de GER,GK,31.0,90000,Premier League
66,Oscar Bobb,,RW,21.0,50000,Premier League
67,Jeremy Doku,be BEL,FW,22.0,50000,Premier League
68,Sávio,br BRA,"FW,MF",20.0,40000,Premier League
69,Scott Carson,eng ENG,GK,38.0,30000,Premier League
70,Rico Lewis,,RB,19.0,25000,Premier League
71,Issa Kaboré,bf BFA,"DF,MF",23.0,20000,Premier League
72,James McAtee,,CM,22.0,15000,Premier League
73,Josh Wilson-Esbrand,,LB,22.0,7000,Premier League
74,Reece James,eng ENG,"DF,MF",24.0,250000,Premier League
75,Wesley Fofana,fr FRA,DF,23.0,200000,Premier League
76,Ben Chilwell,eng ENG,"DF,MF",27.0,200000,Premier League
77,Christopher Nkunku,fr FRA,FW,26.0,195000,Premier League
78,Enzo Fernández,ar ARG,MF,23.0,180000,Premier League
79,Marc Cucurella,es ESP,DF,26.0,175000,Premier League
80,Raheem Sterling,eng ENG,LW,29.0,162500,Premier League
81,Pedro Neto,pt POR,FW,24.0,160000,Premier League
82,Moisés Caicedo,ec ECU,"MF,DF",22.0,150000,Premier League
83,Cole Palmer,eng ENG,"MF,FW",22.0,130000,Premier League
84,João Félix,pt POR,"FW,MF",24.0,130000,Premier League
85,Tosin Adarabioyo,eng ENG,DF,26.0,120000,Premier League
86,Carney Chukwuemeka,eng ENG,MF,20.0,100000,Premier League
87,Mykhailo Mudryk,ua UKR,FW,23.0,100000,Premier League
88,Levi Colwill,eng ENG,DF,21.0,100000,Premier League
89,Nicolas Jackson,sn SEN,FW,23.0,100000,Premier League
90,Benoît Badiashile,fr FRA,DF,23.0,90000,Premier League
91,Axel Disasi,fr FRA,DF,26.0,80000,Premier League
92,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25.0,80000,Premier League
93,Robert Sánchez,es ESP,GK,26.0,60000,Premier League
94,Marc Guiu,,CF,18.0,50000,Premier League
95,Noni Madueke,,RW,22.0,50000,Premier League
96,Filip Jørgensen,dk DEN,GK,22.0,50000,Premier League
97,Malo Gusto,fr FRA,DF,21.0,45000,Premier League
98,Roméo Lavia,,DM,20.0,45000,Premier League
99,Deivid Washington,,CF,19.0,40000,Premier League
100,Marcus Bettinelli,eng ENG,GK,32.0,35000,Premier League
101,Renato Veiga,,LB,21.0,25000,Premier League
102,Lucas Bergström,fi FIN,GK,21.0,7500,Premier League
103,Cesare Casadei,,CM,21.0,7500,Premier League
104,Josh Acheampong,,RB,18.0,5000,Premier League
105,Bruno Guimarães,br BRA,MF,26.0,160000,Premier League
106,Lloyd Kelly,eng ENG,DF,25.0,150000,Premier League
107,Anthony Gordon,eng ENG,"FW,MF",23.0,150000,Premier League
108,Joelinton,br BRA,"MF,FW",27.0,150000,Premier League
109,Alexander Isak,se SWE,FW,24.0,120000,Premier League
110,Sandro Tonali,it ITA,MF,24.0,120000,Premier League
111,Kieran Trippier,eng ENG,DF,33.0,120000,Premier League
112,Matt Targett,eng ENG,DF,28.0,100000,Premier League
113,Sven Botman,nl NED,DF,24.0,90000,Premier League
114,Joe Willock,eng ENG,"MF,FW",24.0,80000,Premier League
115,Harvey Barnes,eng ENG,FW,26.0,80000,Premier League
116,Nick Pope,eng ENG,GK,32.0,60000,Premier League
117,Miguel Almirón,py PAR,FW,30.0,60000,Premier League
118,Emil Krafth,se SWE,DF,29.0,55000,Premier League
119,Dan Burn,eng ENG,DF,32.0,55000,Premier League
120,Sean Longstaff,eng ENG,MF,26.0,50000,Premier League
121,Valentino Livramento,eng ENG,DF,21.0,50000,Premier League
122,Odysseas Vlachodimos,gr GRE,GK,30.0,50000,Premier League
123,Callum Wilson,eng ENG,FW,32.0,46000,Premier League
124,Fabian Schär,ch SUI,DF,32.0,45000,Premier League
125,Jamaal Lascelles,eng ENG,DF,30.0,40000,Premier League
126,Martin Dúbravka,sk SVK,GK,35.0,40000,Premier League
127,Jacob Murphy,eng ENG,FW,29.0,35000,Premier League
128,Isaac Hayden,jm JAM,DM,29.0,22000,Premier League
129,William Osula,,CF,21.0,20000,Premier League
130,Mark Gillespie,eng ENG,GK,32.0,10000,Premier League
131,Harrison Ashby,,RB,23.0,10000,Premier League
132,John Ruddy,eng ENG,GK,37.0,8000,Premier League
133,Lewis Hall,,LB,20.0,7000,Premier League
134,Lewis Miley,,CM,18.0,5000,Premier League
135,Garang Kuol,,LW,19.0,5000,Premier League
136,Alex Murphy,,LB,20.0,3000,Premier League
137,Boubacar Kamara,fr FRA,"MF,DF",24.0,150000,Premier League
138,Youri Tielemans,be BEL,MF,27.0,150000,Premier League
139,Emiliano Martínez,ar ARG,GK,31.0,150000,Premier League
140,Amadou Onana,be BEL,MF,22.0,140000,Premier League
141,Ollie Watkins,eng ENG,FW,28.0,130000,Premier League
142,Lucas Digne,fr FRA,DF,31.0,120000,Premier League
143,John McGinn,sct SCO,"MF,FW",29.0,120000,Premier League
144,Leon Bailey,jm JAM,FW,26.0,120000,Premier League
145,Diego Carlos,br BRA,DF,31.0,100000,Premier League
146,Tyrone Mings,eng ENG,DF,31.0,100000,Premier League
147,Ian Maatsen,nl NED,"DF,FW",22.0,100000,Premier League
148,Pau Torres,es ESP,DF,27.0,100000,Premier League
149,Leander Dendoncker,be BEL,DM,29.0,90000,Premier League
150,Matty Cash,pl POL,"DF,FW",26.0,80000,Premier League
151,Emi Buendía,ar ARG,"FW,MF",27.0,75000,Premier League
152,Jáder Durán,co COL,FW,20.0,75000,Premier League
153,Morgan Rogers,eng ENG,"MF,FW",22.0,75000,Premier League
154,Ezri Konsa,eng ENG,DF,26.0,75000,Premier League
155,Jacob Ramsey,eng ENG,FW,23.0,70000,Premier League
156,Robin Olsen,se SWE,GK,34.0,50000,Premier League
157,Jaden Philogene Bidace,eng ENG,FW,22.0,40000,Premier League
158,Kosta Nedeljkovic,,RB,19.0,20000,Premier League
159,Kortney Hause,eng ENG,CB,29.0,10000,Premier League
160,Joe Gauci,,GK,24.0,10000,Premier League
161,Kaine Kesler,,RB,22.0,10000,Premier League
162,Lino Sousa,,LB,20.0,10000,Premier League
163,Lamare Bogarde,,CB,20.0,8000,Premier League
164,James Ward-Prowse,eng ENG,MF,29.0,115000,Premier League
165,Nikola Milenković,rs SRB,DF,26.0,105000,Premier League
166,Callum Hudson-Odoi,eng ENG,"FW,MF",23.0,80000,Premier League
167,Chris Wood,nz NZL,FW,32.0,80000,Premier League
168,Morgan Gibbs-White,eng ENG,MF,24.0,80000,Premier League
169,Ibrahim Sangaré,ci CIV,MF,26.0,75000,Premier League
170,Neco Williams,wls WAL,DF,23.0,50000,Premier League
171,Ryan Yates,eng ENG,MF,26.0,50000,Premier League
172,Taiwo Awoniyi,ng NGA,FW,26.0,50000,Premier League
173,Emmanuel Dennis,ng NGA,CF,26.0,40000,Premier League
174,Elliot Anderson,eng ENG,MF,21.0,40000,Premier League
175,Willy Boly,ci CIV,DF,33.0,40000,Premier League
176,Ola Aina,ng NGA,DF,27.0,40000,Premier League
177,Álex Moreno,es ESP,"DF,MF",31.0,35000,Premier League
178,Morato,br BRA,DF,23.0,35000,Premier League
179,Matz Sels,be BEL,GK,32.0,35000,Premier League
180,Nicolás Domínguez,ar ARG,"MF,FW",26.0,35000,Premier League
181,Harry Toffolo,eng ENG,DF,28.0,35000,Premier League
182,Andrew Omobamidele,ie IRL,DF,22.0,35000,Premier League
183,Danilo,br BRA,"MF,FW",23.0,30000,Premier League
184,Ramón Sosa,py PAR,"FW,MF",24.0,30000,Premier League
185,Murillo,,CB,22.0,30000,Premier League
186,Jota Silva,pt POR,"FW,MF",24.0,25000,Premier League
187,Anthony Elanga,se SWE,"FW,MF",22.0,25000,Premier League
188,Carlos Miguel,br BRA,GK,25.0,15000,Premier League
189,Lewis O'Brien,eng ENG,CM,26.0,15000,Premier League
190,Jonathan Panzo,eng ENG,CB,24.0,10000,Premier League
191,Eric da Silva Moreira,,RW,18.0,8000,Premier League
192,Zach Abbott,,CB,18.0,3000,Premier League
193,Ferdi Kadioglu,tr TUR,"DF,MF",24.0,87500,Premier League
194,Kaoru Mitoma,jp JPN,"FW,MF",27.0,80000,Premier League
195,Lewis Dunk,eng ENG,DF,32.0,80000,Premier League
196,Georginio Rutter,fr FRA,"MF,FW",22.0,75000,Premier League
197,Mats Wieffer,nl NED,"DF,MF",24.0,60000,Premier League
198,Danny Welbeck,eng ENG,FW,33.0,60000,Premier League
199,James Milner,eng ENG,MF,38.0,60000,Premier League
200,Adam Webster,eng ENG,DF,29.0,55000,Premier League
201,Pervis Estupiñán,ec ECU,DF,26.0,50000,Premier League
202,Matt O'Riley,dk DEN,MF,23.0,50000,Premier League
203,Joël Veltman,nl NED,DF,32.0,50000,Premier League
204,João Pedro,br BRA,"FW,MF",22.0,50000,Premier League
205,Solly March,eng ENG,"FW,MF",30.0,50000,Premier League
206,Brajan Gruda,,RW,20.0,50000,Premier League
207,Igor,br BRA,DF,26.0,45000,Premier League
208,Yankuba Minteh,,RW,20.0,40000,Premier League
209,Tariq Lamptey,gh GHA,DF,23.0,35000,Premier League
210,Bart Verbruggen,nl NED,GK,21.0,35000,Premier League
211,Jan Paul van Hecke,nl NED,DF,24.0,30000,Premier League
212,Evan Ferguson,ie IRL,FW,19.0,30000,Premier League
213,Jason Steele,eng ENG,GK,33.0,20000,Premier League
214,Jeremy Sarmiento,ec ECU,MF,22.0,20000,Premier League
215,Carlos Baleba,,DM,20.0,12500,Premier League
216,Simon Adingra,ci CIV,"FW,MF",22.0,12500,Premier League
217,Jakub Moder,pl POL,MF,25.0,10000,Premier League
218,Jack Hinshelwood,,RB,19.0,10000,Premier League
219,Julio Enciso,py PAR,"MF,FW",20.0,10000,Premier League
