Player,new_pound_value,team_id,team,league,Wage_Bin,Count
Mohamed Salah,350000,8650.0,Liverpool,Premier League,£200k+,2
Virgil van Dijk,220000,8650.0,Liverpool,Premier League,£200k+,2
Trent Alexander-Arnold,180000,8650.0,Liverpool,Premier League,£150k-£200k,2
Andrew Robertson,160000,8650.0,Liverpool,Premier League,£150k-£200k,2
Alisson,150000,8650.0,Liverpool,Premier League,£100k-£150k,8
Federico Chiesa,150000,8650.0,Liverpool,Premier League,£100k-£150k,8
Ryan Gravenberch,150000,8650.0,Liverpool,Premier League,£100k-£150k,8
Alexis Mac Allister,150000,8650.0,Liverpool,Premier League,£100k-£150k,8
Darwin Núñez,140000,8650.0,Liverpool,Premier League,£100k-£150k,8
Diogo Jota,140000,8650.0,Liverpool,Premier League,£100k-£150k,8
Cody Gakpo,120000,8650.0,Liverpool,Premier League,£100k-£150k,8
Dominik Szoboszlai,120000,8650.0,Liverpool,Premier League,£100k-£150k,8
Joe Gomez,85000,8650.0,Liverpool,Premier League,£80k-£100k,1
Kostas Tsimikas,75000,8650.0,Liverpool,Premier League,£50k-£80k,3
Ibrahima Konaté,70000,8650.0,Liverpool,Premier League,£50k-£80k,3
Luis Díaz,55000,8650.0,Liverpool,Premier League,£50k-£80k,3
Wataru Endo,50000,8650.0,Liverpool,Premier League,£10k-£50k,4
Harvey Elliott,40000,8650.0,Liverpool,Premier League,£10k-£50k,4
Stefan Bajcetic,40000,8306.0,Las Palmas,Premier League,£10k-£50k,1
Jarell Quansah,30000,8650.0,Liverpool,Premier League,£10k-£50k,4
Curtis Jones,15000,8650.0,Liverpool,Premier League,£10k-£50k,4
Conor Bradley,10000,8650.0,Liverpool,Premier League,<£10k,3
Caoimhín Kelleher,10000,8650.0,Liverpool,Premier League,<£10k,3
Vitezslav Jaros,7000,8650.0,Liverpool,Premier League,<£10k,3
Kai Havertz,280000,9825.0,Arsenal,Premier League,£200k+,4
Gabriel Jesus,265000,9825.0,Arsenal,Premier League,£200k+,4
Declan Rice,240000,9825.0,Arsenal,Premier League,£200k+,4
Martin Ødegaard,240000,9825.0,Arsenal,Premier League,£200k+,4
Thomas Partey,200000,9825.0,Arsenal,Premier League,£150k-£200k,5
Bukayo Saka,195000,9825.0,Arsenal,Premier League,£150k-£200k,5
William Saliba,190000,9825.0,Arsenal,Premier League,£150k-£200k,5
Gabriel Martinelli,180000,9825.0,Arsenal,Premier League,£150k-£200k,5
Oleksandr Zinchenko,150000,9825.0,Arsenal,Premier League,£100k-£150k,6
Ben White,150000,9825.0,Arsenal,Premier League,£100k-£150k,6
Mikel Merino,130000,9825.0,Arsenal,Premier League,£100k-£150k,6
Riccardo Calafiori,120000,9825.0,Arsenal,Premier League,£100k-£150k,6
Jorginho,110000,9825.0,Arsenal,Premier League,£100k-£150k,6
Kieran Tierney,110000,9825.0,Arsenal,Premier League,£100k-£150k,6
Gabriel Magalhães,100000,9825.0,Arsenal,Premier League,£80k-£100k,5
Takehiro Tomiyasu,100000,9825.0,Arsenal,Premier League,£80k-£100k,5
David Raya,100000,9825.0,Arsenal,Premier League,£80k-£100k,5
Jurriën Timber,90000,9825.0,Arsenal,Premier League,£80k-£100k,5
Leandro Trossard,90000,9825.0,Arsenal,Premier League,£80k-£100k,5
Jakub Kiwior,58000,9825.0,Arsenal,Premier League,£50k-£80k,1
Neto,50000,8678.0,Bournemouth,Premier League,£10k-£50k,15
Kevin De Bruyne,400000,8456.0,Manchester City,Premier League,£200k+,8
Erling Haaland,375000,8456.0,Manchester City,Premier League,£200k+,8
Bernardo Silva,300000,8456.0,Manchester City,Premier League,£200k+,8
Jack Grealish,300000,8456.0,Manchester City,Premier League,£200k+,8
John Stones,250000,8456.0,Manchester City,Premier League,£200k+,8
İlkay Gündoğan,230000,8456.0,Manchester City,Premier League,£200k+,8
Phil Foden,225000,8456.0,Manchester City,Premier League,£200k+,8
Rodri,220000,8456.0,Manchester City,Premier League,£200k+,8
Joško Gvardiol,200000,8456.0,Manchester City,Premier League,£150k-£200k,5
Rúben Dias,180000,8456.0,Manchester City,Premier League,£150k-£200k,5
Manuel Akanji,180000,8456.0,Manchester City,Premier League,£150k-£200k,5
Kyle Walker,175000,8456.0,Manchester City,Premier League,£150k-£200k,5
Nathan Aké,160000,8456.0,Manchester City,Premier League,£150k-£200k,5
Mateo Kovačić,150000,8456.0,Manchester City,Premier League,£100k-£150k,2
Matheus Nunes,130000,8456.0,Manchester City,Premier League,£100k-£150k,2
Ederson,100000,8456.0,Manchester City,Premier League,£80k-£100k,2
Stefan Ortega,90000,8456.0,Manchester City,Premier League,£80k-£100k,2
Oscar Bobb,50000,8456.0,Manchester City,Premier League,£10k-£50k,4
Jeremy Doku,50000,8456.0,Manchester City,Premier League,£10k-£50k,4
Sávio,40000,8456.0,Manchester City,Premier League,£10k-£50k,4
Rico Lewis,25000,8456.0,Manchester City,Premier League,£10k-£50k,4
Issa Kaboré,20000,8697.0,Werder Bremen,Premier League,£10k-£50k,1
Reece James,250000,8455.0,Chelsea,Premier League,£200k+,1
Wesley Fofana,200000,8455.0,Chelsea,Premier League,£150k-£200k,5
Ben Chilwell,200000,9826.0,Crystal Palace,Premier League,£150k-£200k,1
Christopher Nkunku,195000,8455.0,Chelsea,Premier League,£150k-£200k,5
Enzo Fernández,180000,8455.0,Chelsea,Premier League,£150k-£200k,5
Marc Cucurella,175000,8455.0,Chelsea,Premier League,£150k-£200k,5
Raheem Sterling,162500,9825.0,Arsenal,Premier League,£150k-£200k,5
Pedro Neto,160000,8455.0,Chelsea,Premier League,£150k-£200k,5
Moisés Caicedo,150000,8455.0,Chelsea,Premier League,£100k-£150k,5
Cole Palmer,130000,8455.0,Chelsea,Premier League,£100k-£150k,5
João Félix,130000,8455.0,Chelsea,Premier League,£100k-£150k,5
Tosin Adarabioyo,120000,8455.0,Chelsea,Premier League,£100k-£150k,5
Carney Chukwuemeka,100000,9789.0,Dortmund,Premier League,£80k-£100k,1
Mykhailo Mudryk,100000,8455.0,Chelsea,Premier League,£80k-£100k,4
Levi Colwill,100000,8455.0,Chelsea,Premier League,£80k-£100k,4
Nicolas Jackson,100000,8455.0,Chelsea,Premier League,£80k-£100k,4
Benoît Badiashile,90000,8455.0,Chelsea,Premier League,£80k-£100k,4
Axel Disasi,80000,10252.0,Aston Villa,Premier League,£50k-£80k,7
Kiernan Dewsbury-Hall,80000,8455.0,Chelsea,Premier League,£50k-£80k,2
Robert Sánchez,60000,8455.0,Chelsea,Premier League,£50k-£80k,2
Marc Guiu,50000,8455.0,Chelsea,Premier League,£10k-£50k,6
Noni Madueke,50000,8455.0,Chelsea,Premier League,£10k-£50k,6
Filip Jørgensen,50000,8455.0,Chelsea,Premier League,£10k-£50k,6
Malo Gusto,45000,8455.0,Chelsea,Premier League,£10k-£50k,6
Roméo Lavia,45000,8455.0,Chelsea,Premier League,£10k-£50k,6
Renato Veiga,25000,8455.0,Chelsea,Premier League,£10k-£50k,6
Cesare Casadei,7500,9804.0,Torino,Premier League,<£10k,1
Bruno Guimarães,160000,10261.0,Newcastle Utd,Premier League,£150k-£200k,1
Lloyd Kelly,150000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Anthony Gordon,150000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Joelinton,150000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Alexander Isak,120000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Sandro Tonali,120000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Kieran Trippier,120000,10261.0,Newcastle Utd,Premier League,£100k-£150k,6
Matt Targett,100000,10261.0,Newcastle Utd,Premier League,£80k-£100k,2
Sven Botman,90000,10261.0,Newcastle Utd,Premier League,£80k-£100k,2
Joe Willock,80000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
Harvey Barnes,80000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
Nick Pope,60000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
Miguel Almirón,60000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
Emil Krafth,55000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
Dan Burn,55000,10261.0,Newcastle Utd,Premier League,£50k-£80k,6
