,team
0,Bournemouth
1,Union Berlin
2,Eint Frankfurt
3,Marseille
4,Reims
5,Lens
6,Getafe
7,Lorient
8,Nantes
9,Betis
10,Toulouse
11,Alavés
12,Roma
13,Inter
14,Chelsea
15,Sevilla
16,Sheffield Utd
17,Montpellier
18,Freiburg
19,Köln
20,Fulham
21,Luton Town
22,Dortmund
23,Brighton
24,Leverkusen
25,Milan
26,Lyon
27,Bologna
28,Athletic Club
29,Werder Bremen
30,West Ham
31,Nott'ham Forest
32,Crystal Palace
33,Celta Vigo
34,Wolves
35,Brentford
36,Mainz 05
37,Manchester City
38,Udinese
39,Villarreal
40,Almería
41,Monaco
42,Monza
43,Genoa
44,Hoffenheim
45,Real Madrid
46,Lazio
47,Liverpool
48,Juventus
49,Cádiz
50,Strasbourg
51,Real Sociedad
52,Nice
53,Le Havre
54,Clermont Foot
55,Valencia
56,Newcastle Utd
57,Lecce
58,Barcelona
59,Metz
60,Mallorca
61,Fiorentina
62,Brest
63,Burnley
64,Hellas Verona
65,Wolfsburg
66,Manchester Utd
67,Lille
68,Granada
69,Stuttgart
70,Bochum
71,Darmstadt 98
72,Las Palmas
73,Aston Villa
74,Osasuna
75,Cagliari
76,Paris S-G
77,Bayern Munich
78,Rennes
79,Atlético Madrid
80,Frosinone
81,Sassuolo
82,Atalanta
83,Empoli
84,Rayo Vallecano
85,Salernitana
86,Augsburg
87,RB Leipzig
88,Heidenheim
89,Torino
90,Tottenham
91,Everton
92,Girona
93,Gladbach
94,Napoli
95,Arsenal
