,team_names,urls
0,Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats
1,Aston-Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2,Crystal-Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
3,Watford,https://fbref.com/en/squads/2abfe087/Watford-Stats
4,Manchester-City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
5,Newcastle-United,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
6,Manchester-United,https://fbref.com/en/squads/19538871/Manchester-United-Stats
7,Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
8,Burnley,https://fbref.com/en/squads/943e8050/Burnley-Stats
9,Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
10,Leicester-City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
11,Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
12,Norwich-City,https://fbref.com/en/squads/1c781004/Norwich-City-Stats
13,Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats
14,Wolverhampton-Wanderers,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
15,Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
16,West-Ham-United,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
17,Tottenham-Hotspur,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
18,Leeds-United,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
19,Brighton-and-Hove-Albion,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
