,team,team_id,matches
0,Sevilla,8302,Sevilla
1,Leganes,7854,Leganés
2,Girona,7732,Girona
3,Athletic Club,8315,Athletic Club
4,Real Madrid,8633,Real Madrid
5,Rayo Vallecano,8370,Rayo Vallecano
6,Real Betis,8603,Betis
7,Deportivo Alaves,9866,Alavés
8,Getafe,8305,Getafe
9,Villarreal,10205,Villarreal
10,Valencia,10267,Valencia
11,Real Sociedad,8560,Real Sociedad
12,Real Valladolid,10281,Valladolid
13,Mallorca,8661,Mallorca
14,Celta Vigo,9910,Celta Vigo
15,Osasuna,8371,Osasuna
16,Barcelona,8634,Barcelona
17,Las Palmas,8306,Las Palmas
18,Atletico Madrid,9906,Atlético Madrid
19,Espanyol,8558,Espanyol
20,Real Oviedo,8670,Oviedo
21,Juventus,9885,Juventus
22,Frosinone,9891,Frosinone
23,AC Milan,8564,Milan
24,Roma,8686,Roma
25,Cagliari,8529,Cagliari
26,Fiorentina,8535,Fiorentina
27,Salernitana,6480,Salernitana
28,Monza,6504,Monza
29,SSC Napoli,9875,Napoli
30,Empoli,8534,Empoli
31,Inter,8636,Inter
32,Bologna,9857,Bologna
33,Torino,9804,Torino
34,Lecce,9888,Lecce
35,Lazio,8543,Lazio
36,Sassuolo,7943,Sassuolo
37,Atalanta,8524,Atalanta
38,Genoa,10233,Genoa
39,Udinese,8600,Udinese
40,Hellas Verona,9876,Hellas Verona
41,Brest,8521,Brest
42,Le Havre,9746,Le Havre
43,Lyon,9748,Lyon
44,Saint-Etienne,9853,Saint-Étienne
45,Paris Saint-Germain,9847,Paris S-G
46,Lens,8588,Lens
47,Reims,9837,Reims
48,Marseille,8592,Marseille
49,Strasbourg,9848,Strasbourg
50,Nantes,9830,Nantes
51,Lille,8639,Lille
52,Nice,9831,Nice
53,Montpellier,10249,Montpellier
54,Rennes,9851,Rennes
55,Toulouse,9941,Toulouse
56,Auxerre,8583,Auxerre
57,Monaco,9829,Monaco
58,Angers,8121,Angers
59,RB Leipzig,178475,RB Leipzig
60,FC Augsburg,8406,Augsburg
61,Bayer Leverkusen,8178,Leverkusen
62,TSG Hoffenheim,8226,Hoffenheim
63,VfB Stuttgart,10269,Stuttgart
64,FC Heidenheim,94937,Heidenheim
65,Mainz 05,9905,Mainz 05
66,Eintracht Frankfurt,9810,Eint Frankfurt
67,Borussia Mönchengladbach,9788,Gladbach
68,SC Freiburg,8358,Freiburg
69,FC Köln,8722,Köln
70,VfL Bochum,9911,Bochum
71,SV Darmstadt,8262,Darmstadt 98
72,Wolfsburg,8721,Wolfsburg
73,Bayern München,9823,Bayern Munich
74,Werder Bremen,8697,Werder Bremen
75,Union Berlin,8149,Union Berlin
76,Borussia Dortmund,9789,Dortmund
77,Manchester United,10260,Manchester Utd
78,Southampton,8466,Southampton
79,Brentford,9937,Brentford
80,West Ham United,8654,West Ham
81,Newcastle United,10261,Newcastle Utd
82,Arsenal,9825,Arsenal
83,Crystal Palace,9826,Crystal Palace
84,Tottenham Hotspur,8586,Tottenham
85,Chelsea,8455,Chelsea
86,Everton,8668,Everton
87,Ipswich Town,9902,Ipswich Town
88,AFC Bournemouth,8678,Bournemouth
89,Liverpool,8650,Liverpool
90,Nottingham Forest,10203,Nott'ham Forest
91,Manchester City,8456,Manchester City
92,Wolverhampton Wanderers,8602,Wolves
93,Aston Villa,10252,Aston Villa
94,Brighton & Hove Albion,10204,Brighton
95,Leicester City,8197,Leicester City
96,Fulham,9879,Fulham
97,Lorient,8689,Lorient
98,Metz,8550,Metz
