Rank,Player,Nation,Position,Squad,Competition,Age,Born,Minutes_90s,Goals_Against,Penalty_Kicks_Allowed,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post_Shot_Expected_Goals,Post_Shot_Expected_Goals_Per_Shot_On_Target,Post_Shot_Expected_Goals_Minus_Goals_Allowed,Post_Shot_Expected_Goals_Minus_Goals_Allowed_Per_90,Launched_Passes_Completed,Launched_Passes_Attempted,Launched_Pass_Completion_Percentage,Passes_Attempted_Excluding_Goal_Kicks,Throws_Attempted,Launched_Pass_Percentage,Average_Pass_Length,Goal_Kicks_Launched_Attempted,Goal_Kicks_Launched_Percentage,Average_Goal_Kick_Length,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_Percentage,Defensive_Actions_Outside_Penalty_Area,Defensive_Actions_Outside_Penalty_Area_Per_90,Average_Distance_Of_Defensive_Actions,Matches,Goals_Conceded_Norm,Goals_Minus_PSxG_Norm,Own_Goals_Norm,Save_Percent_Norm,Pass_Completion_Norm,CLOWN_Rating
3,Alisson,br BRA,GK,Liverpool,Premier League,32-167,1992,20.9,0.861244019138756,0.0,0.0,0.04784688995215311,0.0,17.7,0.28,-0.3,-0.01,2.488038277511962,6.6028708133971294,37.7,28.181818181818183,4.114832535885168,20.4,26.5,54,33.3,30.7,9.473684210526317,0.3349282296650718,3.5,1.8660287081339715,1.87,15.8,Matches,2.15311004784689,4.166666666666668,0.0,8.94894894894895,6.713147410358565,4.14
4,Alphonse Areola,fr FRA,GK,West Ham,Premier League,32-019,1993,17.1,1.6959064327485378,0.0,0.0,0.17543859649122806,0.17543859649122806,22.8,0.3,-3.2,-0.19,6.257309941520467,16.023391812865494,39.1,31.052631578947366,4.56140350877193,34.5,32.1,148,61.5,44.7,15.555555555555554,0.7017543859649122,4.5,0.935672514619883,0.94,12.9,Matches,4.239766081871345,0.7142857142857144,2.807017543859649,8.64864864864865,6.434262948207171,4.0
5,Kepa Arrizabalaga,es ESP,GK,Bournemouth,Premier League,30-166,1994,22.0,1.3181818181818181,0.18181818181818182,0.0,0.13636363636363635,0.0,31.6,0.27,2.6,0.12,4.7272727272727275,12.681818181818182,37.3,25.772727272727273,3.590909090909091,37.2,34.3,141,48.2,39.4,12.318181818181818,0.5909090909090909,4.8,1.7272727272727273,1.73,16.2,Matches,3.2954545454545454,7.61904761904762,0.0,8.558558558558559,6.792828685258965,5.34
8,Brandon Austin,eng ENG,GK,Tottenham,Premier League,26-069,1999,1.0,2.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,6,16.7,29.0,15.0,5.0,33.3,2.0,2.0,12.4,Matches,5.0,4.761904761904763,0.0,0.0,8.784860557768924,3.31
38,Martin Dúbravka,sk SVK,GK,Newcastle Utd,Premier League,36-062,1989,10.0,1.2,0.0,0.0,0.1,0.0,12.9,0.32,0.9,0.09,1.8,8.0,22.5,27.3,5.4,15.8,25.2,59,62.7,45.4,12.7,1.0,7.9,1.1,1.1,15.3,Matches,3.0,5.595238095238097,0.0,7.627627627627628,9.741035856573706,4.78
39,Ederson,br BRA,GK,Manchester City,Premier League,31-213,1993,19.0,1.2105263157894737,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,25.7,0.36,3.7,0.2,3.1578947368421053,7.157894736842105,44.1,34.21052631578947,4.052631578947368,18.9,28.0,56,23.2,31.2,8.736842105263158,0.5263157894736842,6.0,1.894736842105263,1.89,17.5,Matches,3.026315789473684,8.92857142857143,0.8421052631578947,8.198198198198199,5.438247011952191,5.64
40,Łukasz Fabiański,pl POL,GK,West Ham,Premier League,39-334,1985,11.9,1.680672268907563,0.25210084033613445,0.08403361344537814,0.25210084033613445,0.0,22.3,0.3,2.3,0.19,5.798319327731092,17.22689075630252,33.7,30.168067226890756,4.369747899159663,41.5,35.4,94,59.6,44.4,16.63865546218487,0.5882352941176471,3.5,0.9243697478991596,0.93,13.7,Matches,4.201680672268908,7.261904761904763,0.0,8.94894894894895,7.509960159362549,5.56
43,Mark Flekken,nl NED,GK,Brentford,Premier League,31-278,1993,27.4,1.5693430656934306,0.03649635036496351,0.0,0.07299270072992702,0.07299270072992702,43.2,0.27,2.2,0.08,6.423357664233577,17.2992700729927,37.1,42.846715328467155,3.5036496350364965,32.6,34.0,141,64.5,50.9,16.605839416058394,1.3503649635036497,8.1,0.9854014598540146,0.99,11.4,Matches,3.923357664233577,7.142857142857144,1.1678832116788322,7.5675675675675675,6.8326693227091635,5.36
45,Fraser Forster,eng ENG,GK,Tottenham,Premier League,37-001,1988,7.0,2.142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.0,16.5,0.36,1.5,0.21,1.5714285714285714,4.428571428571429,35.5,20.142857142857142,4.285714285714286,21.3,27.2,56,1.8,14.6,11.571428571428571,0.5714285714285714,4.9,0.42857142857142855,0.43,11.1,Matches,5.357142857142857,6.30952380952381,0.0,8.528528528528529,7.151394422310757,5.39
57,Dean Henderson,eng ENG,GK,Crystal Palace,Premier League,28-006,1997,28.0,1.1785714285714286,0.03571428571428571,0.0,0.07142857142857142,0.07142857142857142,34.9,0.32,3.9,0.14,4.0,15.714285714285714,25.5,24.607142857142858,3.0714285714285716,47.5,38.5,214,52.8,43.1,14.607142857142858,0.7142857142857143,4.9,1.1428571428571428,1.14,14.6,Matches,2.9464285714285716,9.166666666666668,1.1428571428571428,8.528528528528529,9.143426294820717,6.19
58,Mads Hermansen,dk DEN,GK,Leicester City,Premier League,24-250,2000,21.5,2.186046511627907,0.046511627906976744,0.0,0.09302325581395349,0.13953488372093023,45.4,0.36,1.4,0.07,3.953488372093023,16.6046511627907,23.8,33.86046511627907,4.930232558139535,38.2,34.1,112,70.5,48.5,16.325581395348838,0.8837209302325582,5.4,0.9767441860465116,0.98,13.4,Matches,5.465116279069767,6.190476190476192,2.2325581395348837,8.378378378378379,9.482071713147409,6.02
64,Vitezslav Jaros,cz CZE,GK,Liverpool,Premier League,23-238,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,50.0,70.0,71.4,70.0,20.0,85.7,50.9,1,100.0,59.0,20.0,0.0,0.0,0.0,0.0,11.0,Matches,0.0,4.523809523809525,0.0,10.0,0.0,3.36
66,Sam Johnstone,eng ENG,GK,Wolves,Premier League,31-358,1993,7.0,2.4285714285714284,0.2857142857142857,0.0,0.7142857142857143,0.14285714285714285,13.0,0.29,-3.0,-0.43,7.428571428571429,18.428571428571427,40.3,36.0,4.0,45.6,36.6,25,56.0,43.2,14.857142857142858,1.1428571428571428,7.7,1.5714285714285714,1.57,13.4,Matches,6.071428571428571,0.9523809523809526,2.2857142857142856,7.687687687687688,6.195219123505977,4.11
69,Filip Jørgensen,dk DEN,GK,Chelsea,Premier League,22-336,2002,6.0,1.5,0.16666666666666666,0.0,0.16666666666666666,0.0,9.3,0.3,0.3,0.04,1.1666666666666667,5.5,21.2,28.5,3.1666666666666665,18.1,24.1,18,11.1,17.5,8.833333333333334,0.3333333333333333,3.8,0.3333333333333333,0.33,13.2,Matches,3.75,4.880952380952381,0.0,8.85885885885886,10.0,4.99
