,Name,Age,new_pound_value,team_id,team,Wage_Bin,Count
1,Harry Kane,29.0,200000,8586,Tottenham,£150k-£200k,8
2,Heung-Min Son,30.0,190000,8586,Tottenham,£150k-£200k,8
3,Ivan Perisic,33.0,180000,8586,Tottenham,£150k-£200k,8
4,Cristian Romero,24.0,165000,8586,Tottenham,£150k-£200k,8
5,Clément Lenglet,27.0,145000,8586,Tottenham,£100k-£150k,12
6,Dejan Kulusevski,22.0,110000,8586,Tottenham,£100k-£150k,12
7,Pierre-Emile Højbjerg,26.0,100000,8586,Tottenham,£80k-£100k,18
8,Hugo Lloris,35.0,100000,8586,Tottenham,£80k-£100k,18
9,Lucas Moura,29.0,90000,8586,Tottenham,£80k-£100k,18
10,Richarlison,25.0,90000,8586,Tottenham,£80k-£100k,18
11,Eric Dier,28.0,85000,8586,Tottenham,£80k-£100k,18
12,Ben Davies,29.0,80000,8586,Tottenham,£50k-£80k,20
13,Fraser Forster,34.0,75000,8586,Tottenham,£50k-£80k,20
14,Rodrigo Bentancur,25.0,75000,8586,Tottenham,£50k-£80k,20
15,Davinson Sánchez,26.0,65000,8586,Tottenham,£50k-£80k,20
16,Ryan Sessegnon,22.0,55000,8586,Tottenham,£50k-£80k,20
17,Yves Bissouma,25.0,55000,8586,Tottenham,£50k-£80k,20
18,Oliver Skipp,21.0,40000,8586,Tottenham,£10k-£50k,20
19,Japhet Tanganga,23.0,25000,8586,Tottenham,£10k-£50k,20
20,Brandon Austin,23.0,5000,8586,Tottenham,<£10k,16
21,David De Gea,31.0,375000,10260,Manchester Utd,£300k+,5
22,Jadon Sancho,22.0,350000,10260,Manchester Utd,£300k+,5
23,Raphaël Varane,29.0,340000,10260,Manchester Utd,£300k+,5
24,Casemiro,30.0,300000,10260,Manchester Utd,£300k+,5
25,Anthony Martial,26.0,250000,10260,Manchester Utd,£300k+,5
26,Bruno Fernandes,27.0,240000,10260,Manchester Utd,£300k+,5
27,Antony,22.0,200000,10260,Manchester Utd,£150k-£200k,8
28,Marcus Rashford,24.0,200000,10260,Manchester Utd,£150k-£200k,8
29,Harry Maguire,29.0,190000,10260,Manchester Utd,£150k-£200k,8
30,Luke Shaw,27.0,150000,10260,Manchester Utd,£100k-£150k,12
31,Christian Eriksen,30.0,150000,10260,Manchester Utd,£100k-£150k,12
32,Fred,29.0,120000,10260,Manchester Utd,£100k-£150k,12
33,Victor Nilsson Lindelöf,28.0,120000,10260,Manchester Utd,£100k-£150k,12
34,Lisandro Martinez,24.0,120000,10260,Manchester Utd,£100k-£150k,12
35,Donny van de Beek,25.0,120000,10260,Manchester Utd,£100k-£150k,12
36,Aaron Wan-Bissaka,24.0,90000,10260,Manchester Utd,£80k-£100k,18
37,Phil Jones,30.0,75000,10260,Manchester Utd,£50k-£80k,20
38,Tyrell Malacia,22.0,75000,10260,Manchester Utd,£50k-£80k,20
39,Brandon Williams,21.0,65000,10260,Manchester Utd,£50k-£80k,20
40,Scott McTominay,25.0,60000,10260,Manchester Utd,£50k-£80k,20
41,Axel Tuanzebe,24.0,50000,10260,Manchester Utd,£10k-£50k,20
42,Tom Heaton,36.0,45000,10260,Manchester Utd,£10k-£50k,20
43,Diogo Dalot,23.0,25000,10260,Manchester Utd,£10k-£50k,20
44,Facundo Pellistri,20.0,20000,10260,Manchester Utd,£10k-£50k,20
45,Anthony Elanga,20.0,5000,10260,Manchester Utd,<£10k,16
46,Shola Shoretire,18.0,5000,10260,Manchester Utd,<£10k,16
47,Diogo Dalot,28.0,45000,10260,Manchester Utd,£10k-£50k,20
48,Jack Butland,29.0,35000,10260,Manchester Utd,£10k-£50k,20
49,Antony,27.0,45000,10260,Manchester Utd,£10k-£50k,20
50,Fred,27.0,40000,10260,Manchester Utd,£10k-£50k,20
51,Martin Dubravka,33.0,40000,10261,Newcastle Utd,£10k-£50k,20
52,Bruno Guimaraes,24.0,120000,10261,Newcastle Utd,£100k-£150k,12
53,Alexander Isak,22.0,120000,10261,Newcastle Utd,£100k-£150k,12
54,Matt Targett,26.0,100000,10261,Newcastle Utd,£80k-£100k,18
55,Kieran Trippier,31.0,100000,10261,Newcastle Utd,£80k-£100k,18
56,Sven Botman,22.0,90000,10261,Newcastle Utd,£80k-£100k,18
57,Joelinton,25.0,85000,10261,Newcastle Utd,£80k-£100k,18
58,Chris Wood,30.0,80000,10261,Newcastle Utd,£50k-£80k,20
59,Joseph Willock,22.0,80000,10261,Newcastle Utd,£50k-£80k,20
60,Allan Saint-Maximin,25.0,70000,10261,Newcastle Utd,£50k-£80k,20
61,Nick Pope,30.0,60000,10261,Newcastle Utd,£50k-£80k,20
62,Emil Krafth,27.0,55000,10261,Newcastle Utd,£50k-£80k,20
63,Sean Longstaff,24.0,50000,10261,Newcastle Utd,£10k-£50k,20
64,Callum Wilson,30.0,46000,10261,Newcastle Utd,£10k-£50k,20
65,Matt Ritchie,32.0,45000,10261,Newcastle Utd,£10k-£50k,20
66,Ryan Fraser,28.0,42000,10261,Newcastle Utd,£10k-£50k,20
67,Miguel Almiron,28.0,42000,10261,Newcastle Utd,£10k-£50k,20
68,Fabian Schär,30.0,40000,10261,Newcastle Utd,£10k-£50k,20
69,Jamaal Lascelles,28.0,40000,10261,Newcastle Utd,£10k-£50k,20
70,Jamal Lewis,24.0,38000,10261,Newcastle Utd,£10k-£50k,20
71,Javier Manquillo,28.0,35000,10261,Newcastle Utd,£10k-£50k,20
72,Paul Dummett,30.0,35000,10261,Newcastle Utd,£10k-£50k,20
